endpoint,verb,elapsed,robot,build,db
/health,GET,0.084497,OT2,6.2.1,Empty
/openapi.json,GET,0.757057,OT2,6.2.1,Empty
/runs,GET,0.033381,OT2,6.2.1,Empty
/protocols,GET,0.030715,OT2,6.2.1,Empty
/modules,GET,0.045758,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.033272,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.997002,OT2,6.2.1,Empty
/calibration/status,GET,0.039608,OT2,6.2.1,Empty
/health,GET,0.099521,OT2,6.2.1,Empty
/openapi.json,GET,0.750375,OT2,6.2.1,Empty
/runs,GET,0.030589,OT2,6.2.1,Empty
/protocols,GET,0.027624,OT2,6.2.1,Empty
/modules,GET,0.04136,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.025049,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,2.018929,OT2,6.2.1,Empty
/calibration/status,GET,0.030555,OT2,6.2.1,Empty
/health,GET,0.075968,OT2,6.2.1,Empty
/openapi.json,GET,0.765385,OT2,6.2.1,Empty
/runs,GET,0.045557,OT2,6.2.1,Empty
/protocols,GET,0.030294,OT2,6.2.1,Empty
/modules,GET,0.044574,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.025412,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.91441,OT2,6.2.1,Empty
/calibration/status,GET,0.050418,OT2,6.2.1,Empty
/health,GET,0.092664,OT2,6.2.1,Empty
/openapi.json,GET,0.760458,OT2,6.2.1,Empty
/runs,GET,0.03191,OT2,6.2.1,Empty
/protocols,GET,0.028438,OT2,6.2.1,Empty
/modules,GET,0.039819,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.03207,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,2.003033,OT2,6.2.1,Empty
/calibration/status,GET,0.033424,OT2,6.2.1,Empty
/health,GET,0.076093,OT2,6.2.1,Empty
/openapi.json,GET,0.754016,OT2,6.2.1,Empty
/runs,GET,0.029235,OT2,6.2.1,Empty
/protocols,GET,0.028698,OT2,6.2.1,Empty
/modules,GET,0.040684,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.02866,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.98184,OT2,6.2.1,Empty
/calibration/status,GET,0.033117,OT2,6.2.1,Empty
/health,GET,0.117362,OT2,6.2.1,Empty
/openapi.json,GET,0.762252,OT2,6.2.1,Empty
/runs,GET,0.031298,OT2,6.2.1,Empty
/protocols,GET,0.030905,OT2,6.2.1,Empty
/modules,GET,0.04212,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.026439,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.92292,OT2,6.2.1,Empty
/calibration/status,GET,0.031967,OT2,6.2.1,Empty
/health,GET,0.075906,OT2,6.2.1,Empty
/openapi.json,GET,0.75169,OT2,6.2.1,Empty
/runs,GET,0.028589,OT2,6.2.1,Empty
/protocols,GET,0.027461,OT2,6.2.1,Empty
/modules,GET,0.040075,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.026123,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.987262,OT2,6.2.1,Empty
/calibration/status,GET,0.042943,OT2,6.2.1,Empty
/health,GET,0.079376,OT2,6.2.1,Empty
/openapi.json,GET,0.748902,OT2,6.2.1,Empty
/runs,GET,0.041488,OT2,6.2.1,Empty
/protocols,GET,0.028866,OT2,6.2.1,Empty
/modules,GET,0.052595,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.024955,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.908684,OT2,6.2.1,Empty
/calibration/status,GET,0.030588,OT2,6.2.1,Empty
/health,GET,0.077187,OT2,6.2.1,Empty
/openapi.json,GET,0.760872,OT2,6.2.1,Empty
/runs,GET,0.041322,OT2,6.2.1,Empty
/protocols,GET,0.026387,OT2,6.2.1,Empty
/modules,GET,0.038948,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.022845,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.911719,OT2,6.2.1,Empty
/calibration/status,GET,0.033674,OT2,6.2.1,Empty
/health,GET,0.089511,OT2,6.2.1,Empty
/openapi.json,GET,0.767224,OT2,6.2.1,Empty
/runs,GET,0.035475,OT2,6.2.1,Empty
/protocols,GET,0.032349,OT2,6.2.1,Empty
/modules,GET,0.050181,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.031295,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,2.001362,OT2,6.2.1,Empty
/calibration/status,GET,0.037608,OT2,6.2.1,Empty
/health,GET,0.092598,OT2,6.2.1,Empty
/openapi.json,GET,0.76666,OT2,6.2.1,Empty
